,Reaction,Total Sens,Sens Type
98,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],66.17646980319891,FullOxYield
99,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],10.51175561167008,ExitT
100,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],5.344286070992689,MaxT
101,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],897.678184452727,DistToMaxT
102,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],30.76568871604852,O2Conv
103,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],96.6717774241361,MaxRateCH4Conv
104,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],78.32911324937986,DistTo50CH4Conv
105,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.08318459104645677,SynGasSelec
106,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.1354344706083761,SynGasYield
107,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.0677051273709786,COSelec
108,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.1338571335387096,COYield
109,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.09941095691864184,H2Selec
110,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.1537503918078622,H2Yield
111,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.16592992886995428,CH4Conv
112,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.48005625904262966,FullOxSelec
113,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.4161731757957485,FullOxYield
114,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.09642179176148401,ExitT
115,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.05218264986979894,MaxT
116,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],164.52009148249851,DistToMaxT
117,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.015203519051466446,O2Conv
118,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],3.32593718209455,MaxRateCH4Conv
119,O=C=[Pt] + O[Pt] <=> O=C[Pt] + O=[Pt],0.28219263793085114,DistTo50CH4Conv
120,CO + 2 [Pt] <=> C[Pt] + O[Pt],9.618002363306601,SynGasSelec
121,CO + 2 [Pt] <=> C[Pt] + O[Pt],16.821456887290495,SynGasYield
122,CO + 2 [Pt] <=> C[Pt] + O[Pt],9.926606788255713,COSelec
123,CO + 2 [Pt] <=> C[Pt] + O[Pt],15.509445876006584,COYield
124,CO + 2 [Pt] <=> C[Pt] + O[Pt],10.590595038837801,H2Selec
125,CO + 2 [Pt] <=> C[Pt] + O[Pt],16.84301845548135,H2Yield
126,CO + 2 [Pt] <=> C[Pt] + O[Pt],8.003024775465345,CH4Conv
127,CO + 2 [Pt] <=> C[Pt] + O[Pt],20.482381021072513,FullOxSelec
128,CO + 2 [Pt] <=> C[Pt] + O[Pt],13.933008493423046,FullOxYield
129,CO + 2 [Pt] <=> C[Pt] + O[Pt],4.095360210356829,ExitT
